Power,Discipline,Level,Rouse,Pool,Info,Duration,Prerequisite,Source,Page
Bond Famulus,Animalism,1,0,Charisma + Animal Ken,"After binding an animal over three nights, enjoy an easier time commanding the animal. Uses of Feral Whispers and Subsume the Spirit are free.",Until the famulus dies,,0,245
Sense the Beast,Animalism,1,0,Resolve + Animalism vs. Composure + Subterfuge,Sense the level of hostility in a target and whether they harbor a Beast.,Passive,,0,245
Feral Whispers,Animalism,2,1,Manipulation/Charisma + Animalism,Command animals to perform tasks of varying complexity.,One scene,,0,245
Animal Succulence,Animalism,3,0,,"Reduce penalties from feeding from animals, and animals slake 1 additional Hunger.",Passive,,0,246
Quell the Beast,Animalism,3,1,Charisma + Animalism vs. Stamina + Resolve,"Cow the victim’s inner Beast, incapacitating mortals and pacifying vampires to an extent.",One scene / one turn per margin + 1,,0,246
Unliving Hive,Animalism,4,0,,Extend Animalism powers to insect swarms as well as turn the user’s body into a nest for insects.,Passive,Obfuscate 2,0,246
Subsume the Spirit,Animalism,4,1,Manipulation + Animalism,"Transfer the mind into the body of an animal, assuming complete control. Free if used on a famulus.",One scene / indefinite,,0,247
Animal Dominion,Animalism,5,2,Charisma + Animalism,"Command groups of animals, rather than individuals.",One scene or until the directive is fulfilled (whichever shortest),,0,247
Drawing Out the Beast,Animalism,5,1,Wits + Animalism vs. Composure + Resolve,"Project the Beast into a victim, causing them to frenzy.",Frenzy duration,,0,247
Heightened Senses,Auspex,1,0,,Sharpen the mundane senses to an increasing magnitude.,Until deactivated,,0,249
Sense the Unseen,Auspex,1,0,Wits/Resolve + Auspex,"Spot supernaturally hidden creatures, such as vampires hiding under Obfuscate or wraiths.",Passive,,0,249
Premonition,Auspex,2,0,Resolve + Auspex (active use; 1 rouse check),Experience vague flashes of insight that provide glimpses of the future.,Passive,,0,249
Scry the Soul,Auspex,3,1,Intelligence + Auspex vs. Composure + Subterfuge,"Glean insights on an individual, learning their emotional state, what type of supernatural creature they are, and more.",One turn or longer,,0,250
Share the Senses,Auspex,3,1,Resolve + Auspex,Tap into the senses of a mortal or vampire and see/hear/feel what they do.,One scene,,0,250
Spirit’s Touch,Auspex,4,1,Intelligence + Auspex,"Sense the emotional residue on an object, learning about its previous owner and how the object was used.",One turn,,0,250
Clairvoyance,Auspex,5,1,Intelligence + Auspex,Enter a trance and glean all manner of information from their surroundings.,Variable,,0,251
Possession,Auspex,5,2,Resolve + Auspex vs. Resolve + Intelligence,Possess a mortal’s body after stripping them of their will.,Until ended,Dominate 3,0,251
Telepathy,Auspex,5,1,Resolve + Auspex vs. Wits + Subterfuge,Read minds and project thoughts to others. Also costs 1 Willpower against non-consenting vampires.,"One minute per rouse check, or longer",,0,252
Cat’s Grace,Celerity,1,0,,The user automatically succeeds any Dexterity or Athletics test to maintain balance.,Passive,,0,252
Rapid Reflexes,Celerity,1,0,,Suffer no defense penalties for lack of cover against firearms and take a two-dice minor action (per turn) for free.,Passive,,0,253
Fleetness,Celerity,2,1,,"Add Celerity rating to dice pool for non-combat Dexterity tests; may do this once per turn for defense, as well.",One scene,,0,253
Blink,Celerity,3,1,"Dexterity + Athletics, as needed",Swiftly close in on a foe without losing an action.,,,0,253
Traversal,Celerity,3,1,Dexterity + Athletics,"Run or climb along any surface, including walls and across water.",One turn,,0,253
Draught of Elegance,Celerity,4,1,,Grant some of the user’s Celerity to a recipient who drinks their blood.,"One night; for vampires, until the next feeding or upon reaching Hunger 5",,0,254
Unerring Aim,Celerity,4,1,,Aim and throw/fire any weapon at a target as if they were stationary.,A single attack,Auspex 2,0,254
Lightning Strike,Celerity,5,1,,"Strike with hand or weapon so quickly, the opponent may not defend or dodge.",A single attack,,0,254
Split Second,Celerity,5,1,,"Act before the Storyteller’s narration, within reason.","Roughly one action, as determined by the Storyteller",,0,254
Cloud Memory,Dominate,1,0,Charisma + Dominate vs. Wits + Resolve,Make the victim forget the last few moments.,Indefinitely,,0,256
Compel,Dominate,1,0,Charisma + Dominate vs. Intelligence + Resolve,"Issue a single-sentence, single-action, single-turn command the victim must obey, within reason.",One scene or less,,0,256
Mesmerize,Dominate,2,1,Manipulation + Dominate vs. Intelligence + Resolve,"Issue complex commands to a victim, which must be carried out immediately and can’t contain any conditional phrases.",One scene or until the directive is fulfilled (whichever shortest),,0,256
Dementation,Dominate,2,1,Manipulation + Dominate vs. Composure + Intelligence,"Drive a victim mad over the course of a conversation, dealing superficial Willpower damage and potentially causing compulsions.",One scene,Obfuscate 2,0,256
The Forgetful Mind,Dominate,3,1,Manipulation + Dominate vs. Intelligence + Resolve,Rewrite large portions of the victim’s memories.,Indefinitely,,0,257
Submerged Direction,Dominate,3,1,Manipulation + Dominate vs. Intelligence + Resolve,"As Mesmerize, only the vampire can now issue conditional commands.",,Mesmerize,0,257
Rationalize,Dominate,4,0,,"Dominate victims now believe their compelled actions were their own choice to make and will defend their actions, even to absurd lengths.",Passive,,0,257
Mass Manipulation,Dominate,4,1,Uses the pool of the amplified power,Amplify any other power to affect groups of individuals. Cost is in addition to that of the amplified power.,As per power amplified,,0,257
Terminal Decree,Dominate,5,0,,"The vampire may now issue directly harmful, even fatal, commands, which are resisted as normal.",Passive,,0,257
Resilience,Fortitude,1,0,,Add your Fortitude rating to your health track.,Passive,,0,258
Unswayable Mind,Fortitude,1,0,,"Get bonus dice equal to Fortitude rating in any roll to resist coercion, intimidation, etc., including Dominate and Presence.",Passive,,0,258
Toughness,Fortitude,2,1,,"Reduce incoming superficial damage (before halving) by Fortitude rating, down to a minimum of 1.",Passive,,0,258
Enduring Beasts,Fortitude,2,1,Stamina + Animalism (non-famulus animals),Gift animals with additional health levels equal to Fortitude. No rouse check for famulus.,One scene,Animalism 1,0,258
Defy Bane,Fortitude,3,1,Wits + Survival (for reflexive use),Downgrade a number of aggravated damage (equal to Fortitude rating) to superficial damage.,One scene or until expired (whichever first),,0,259
Fortify the Inner Facade,Fortitude,3,0,,"Increases the difficulty of Scry Soul, Telepathy, etc. by half the user’s Fortitude rating. Contested rolls may add Fortitude to the dice pool.",One scene,,0,259
Draught of Endurance,Fortitude,4,0,,Gift an ally some of the user’s Fortitude powers after they drink the donor’s blood.,"One night; for vampires, until the next feeding or upon reaching Hunger 5",,0,259
Flesh of Marble,Fortitude,5,2,,"Ignore the first source of physical damage each turn, including fire but not sunlight.",One scene,,0,259
Prowess from Pain,Fortitude,5,1,,"No longer suffer dice penalties from health damage; instead, increase one physical attribute by 1 per level of damage, to a max of Blood Surge + 6.",One scene,,0,260
Cloak of Shadows,Obfuscate,1,0,,Blend into surroundings so long as you remain motionless.,One scene,,0,261
Silence of Death,Obfuscate,1,0,,"The user’s footsteps, clothing, and minor sounds become totally silent.",One scene,,0,261
Unseen Passage,Obfuscate,2,1,,"Move around unseen, so long as the user doesn’t make any loud sounds or otherwise draw attention.",One scene or until detection,,0,261
Ghost in the Machine,Obfuscate,3,0,,"Obfuscate now befuddles electronic media and surveillance, granting additional dice to the users and increased difficulties for observers.",As power used,,0,262
Mask of a Thousand Faces,Obfuscate,3,1,,"Appear as someone unremarkable and nondescript, but not anyone specific.",One scene,,0,262
Conceal,Obfuscate,4,1,Intelligence + Obfuscate,Conceal an object as per standard Obfuscate rules. Difficulty depends on context.,One night per margin (minimum 1),Auspex 3,0,262
Vanish,Obfuscate,4,0,Wits + Obfuscate vs. Wits + Awareness,May use Cloak of shadows or Unseen passage even under direct observation.,As per augmented power,Cloak of Shadows,0,262
Cloak the Gathering,Obfuscate,5,1,,Extend powers of Obfuscate to other individuals. Cost is in addition to the power extended.,As power extended,,0,263
Impostor’s Guise,Obfuscate,5,1,"Wits + Obfuscate, Manipulation + Performance",Take on the appearance of a specific individual. Care must be taken to mimic them properly.,One scene,Mask of a Thousand Faces,0,263
Lethal Body,Potence,1,0,,May do aggravated damage to mortals with unarmed strikes and ignore some armor.,Passive,,0,264
Soaring Leap,Potence,1,0,,Allows the user to jump 3m high or 5m far per dot.,Passive,,0,264
Prowess,Potence,2,1,,Add Potence rating to all feats of strength and unarmed damage. Add half to melee damage.,One scene,,0,264
Brutal Feed,Potence,3,0,,"Drain a human in a single turn, causing damage while doing so.",One feeding,,0,264
